# FIX-935 — UNIQUE HOLDER write manifest (prod, 2026-09-05)
# source: 2026-09-05-fec-orphan-attribution.tsv
#
# WRITE SET IS EMPTY. 82 candidates, 0 accepted, 82 refused.
#   1 refused as the audit's low-confidence corner (would bind a surname twin's id) — $162,500
#   81 refused by roleMayHoldFecOffice() (Council Member / Federal Judge) — $1,635,504
#
# Criterion (i) of the plan is UNDERIVABLE, not merely unmet: fec_bulk
# financial_relationships rows carry fec_committee_id and never a cand_id, and
# no committee->candidate linkage exists in the database. See this script's
# header and the FIX-934 audit header for the two independent confirmations.
#
official_id	full_name	tier	is_active	role_title	jurisdiction	donation_rows	donation_cents	twin_name	twin_fec_id	overlap_frac	shared_pairs	derived_cand_id	row_share	office_check	collision_check	action	refusal_reason
cf441a28-aaf4-4e22-ac74-1f445e822f78	Kara Stoll	elected	true	Federal Judge	US	15	2615000	Matthew Stoll	H2CA22249	1.0000	15	—	n/a (no cand_id on FR rows)	FAIL (role 'Federal Judge' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Federal Judge' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
45bcff8a-7db1-4fcf-8607-f4edfb4bad2e	Britt Grant	elected	true	Federal Judge	US	27	2461900	Madaris Grant	H6OH08364	0.9630	26	—	n/a (no cand_id on FR rows)	FAIL (role 'Federal Judge' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Federal Judge' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
d277388a-1207-49b5-ad69-6afab5957089	Sandra O'Connor	elected	true	Federal Judge	US	3	2275000	Kevin O'Connor	S0MA00232	0.6667	2	—	n/a (no cand_id on FR rows)	FAIL (role 'Federal Judge' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Federal Judge' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
da3b41c2-5923-49a0-8686-838411fccf80	Carole Reynolds	elected	false	Council Member	AUS	20	2249400	Claire Reynolds	H6TX11112	1.0000	20	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
193a4a25-e6a5-4743-a47c-243a42e7a539	Ciara Ortiz	elected	false	Council Member	SEA	25	2219900	Oscar Ortiz	H4CA25248	1.0000	25	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
412719f4-2ddc-4bd3-bbbb-f0a3caef98b5	Kelsey Crowe	elected	false	Council Member	SF	11	2150000	Dewey Crowe	H0TN01084	1.0000	11	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
2e4ee0fd-f4da-41e3-835d-09056a9af6b3	Jeffrey Sutton	elected	true	Federal Judge	US	9	2095600	Lisa Sutton	H0NV04056	0.8889	8	—	n/a (no cand_id on FR rows)	FAIL (role 'Federal Judge' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Federal Judge' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
3184bde8-987b-4140-9859-94b57c5da040	Maria Su	elected	false	Council Member	SF	5	1901500	Dongbo Su	H6IL09210	1.0000	5	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
a619c811-2d33-42e8-a91d-af49fc969e36	Ann Williams	elected	true	Federal Judge	US	19	1831100	Anna Williams	H6NJ11187	1.0000	19	—	n/a (no cand_id on FR rows)	FAIL (role 'Federal Judge' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Federal Judge' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
8a4e1b00-fe98-49fc-aecd-327bec820908	Rebecca Duran	elected	false	Council Member	SEA	2	1657100	Crisanta Duran	H0CO01136	1.0000	2	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
db4e6705-9909-47a7-addb-465be4bf0448	Nabil Khazei	elected	false	Council Member	AUS	6	1650000	Alan Khazei	H0MA04176	1.0000	6	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
354a140c-950b-4bbe-a6a8-485e26fb98ae	Eric Stockton	elected	false	Council Member	AUS	23	1585000	James Stockton	H4FL06055	1.0000	23	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
62831aa5-7d58-45d5-bb1c-b3758ff54523	Karen Bowers	elected	false	Council Member	AUS	31	1555000	Rhetta Bowers	H4TX32147	1.0000	31	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
c74a2ac0-c1b8-4526-9022-0ce6464c05fc	Jill Goodman	elected	false	Council Member	AUS	13	1548300	John Goodman	S6IL00425	1.0000	13	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
43ee1bdc-97e7-4641-a8ff-90b701f0877c	Sue Blackman	elected	false	Council Member	SF	4	1500000	Walter Blackman	H2AZ01339	1.0000	4	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
9e99cae2-0330-4997-9552-254657cfaadd	Monica Miranda	elected	false	Council Member	AUS	6	1235400	Hunter Miranda	H6CA47072	1.0000	6	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
a9ec94d8-72ad-4d71-b60f-d29efbcb5d2b	Jay Nath	elected	false	Council Member	SF	21	1171200	Purnima Nath	H4WI04282	1.0000	21	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
346fabb6-fb16-4dca-8203-572333cc44b7	Jordan Feldman	elected	false	Council Member	AUS	19	1150500	Steven Feldman	H4NC10146	1.0000	19	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
e3f8781d-7ab8-4b55-be88-4d8976b2c8dc	Jane Roth	elected	true	Federal Judge	US	3	1130000	—	—	0.0000	0	—	n/a (no cand_id on FR rows)	FAIL (role 'Federal Judge' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Federal Judge' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
ee09025f-9725-4e29-9198-7d7eee8cb1c6	Starr Terrell	elected	false	Council Member	SF	4	1082500	Travis Terrell	H6IA01171	1.0000	4	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
575ab5cc-73c5-4353-9dae-44ed83a77e72	James Wilkinson	elected	true	Federal Judge	US	1	1000000	Margarita Wilkinson	H4CA49164	1.0000	1	—	n/a (no cand_id on FR rows)	FAIL (role 'Federal Judge' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Federal Judge' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
f590f383-5e5b-4e36-9299-af40602cf5b4	Janell Wegman	elected	false	Council Member	SF	2	1000000	Gary Wegman	H6PA16338	1.0000	2	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
f9c370ec-f992-45f8-bbc1-b4a0b23e2bb8	Dominica Henderson	elected	false	Council Member	SF	5	875000	Matthew Henderson	H4OH02263	0.4000	2	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
4a05256c-a1d0-4dad-b0ad-412ca3894235	Julie Christensen	elected	true	Council Member	SF	3	860000	Adam Christensen	H0FL03183	0.6667	2	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
f04faa85-2feb-4967-b921-c6b1dd125832	Quynh Pham	elected	false	Council Member	SEA	6	836100	Jimmy Pham	H4CA45154	1.0000	6	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
d93454b4-36e2-4311-8f8c-3828e9c696cc	Sharon Patterson	elected	false	Council Member	AUS	6	748000	Robert Patterson	H0CA07137	0.6667	4	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
0c9201de-4378-4b99-a612-afd602531e7b	Ralph Winter	elected	true	Federal Judge	US	4	725000	Thomas Winter	H0MT00090	1.0000	4	—	n/a (no cand_id on FR rows)	FAIL (role 'Federal Judge' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Federal Judge' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
65eb956f-b5ee-438f-964c-339301201dd0	Brent Lo	elected	false	Council Member	SEA	2	700000	Sia Lo	H0MN04197	1.0000	2	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
ffd9233e-1d94-44c9-b455-99e241a2e52c	Andres Power	elected	false	Council Member	SF	3	700000	Evan Power	H6FL02315	1.0000	3	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
feb35388-9d04-4e75-864f-233735093de1	Leslie Katz	elected	false	Council Member	SF	3	550000	Mike Katz	H6CA17224	0.6667	2	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
67360001-e42f-4565-ae13-0a5fe13b0a84	John Nalbandian	elected	true	Federal Judge	US	1	500000	Johnny Nalbandian	H0CA27127	1.0000	1	—	n/a (no cand_id on FR rows)	FAIL (role 'Federal Judge' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Federal Judge' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
96b19b40-342c-4177-81fe-640ab442423b	Jema Turk	elected	false	Council Member	SF	1	500000	Jacob Turk	H6MO05189	1.0000	1	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
58ce8329-87e5-40f5-8648-f71ef87185ef	Bobby Shepherd	elected	true	Federal Judge	US	1	500000	Mark Shepherd	H0UT01155	1.0000	1	—	n/a (no cand_id on FR rows)	FAIL (role 'Federal Judge' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Federal Judge' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
4986dce6-cece-4a44-a73c-b42f13f04421	Diane Wood	elected	true	Federal Judge	US	1	500000	Marisa Wood	H2CA23155	1.0000	1	—	n/a (no cand_id on FR rows)	FAIL (role 'Federal Judge' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Federal Judge' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
4969d074-ab5d-49bf-9261-bb6c1fb129b0	Helene White	elected	true	Federal Judge	US	1	500000	Royce White	S4MN00502	1.0000	1	—	n/a (no cand_id on FR rows)	FAIL (role 'Federal Judge' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Federal Judge' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
f8eb4447-778f-44f8-a912-2e88094c005c	Rich Bailey	elected	false	Council Member	AUS	1	500000	Richard Bailey	H2CA52154	1.0000	1	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
c7975ec7-ff24-49db-a707-d225cb1abc73	Maria Stuart	elected	false	Council Member	AUS	6	480000	Douglas Stuart	S4OH00226	1.0000	6	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
f4745d1c-c3d4-46c3-a230-e95deb529140	John Carroll	elected	false	Council Member	SF	1	396600	Brian Carroll	P00013771	1.0000	1	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
9f0b4952-f622-4720-8e7c-498bba257508	Dori Cho	elected	false	Council Member	SEA	2	330000	Roy Cho	H4NJ05135	1.0000	2	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
3992716c-3e98-4f50-9757-ae76b083d73c	Tom Fulmer	elected	false	Council Member	AUS	4	295000	Matthew Fulmer	H6SC01300	1.0000	4	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
535dd9cb-fef0-4a15-a408-5f96b04c5460	Chelsea Pfeifer	elected	false	Council Member	AUS	5	275000	Peter Pfeifer	H4MO02108	1.0000	5	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
d8fa25bb-8dbe-405e-bcb1-e0755e4c61f3	Elizabeth Branch	elected	true	Federal Judge	US	5	275000	Talmadge Branch	H0MD07130	1.0000	5	—	n/a (no cand_id on FR rows)	FAIL (role 'Federal Judge' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Federal Judge' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
c57ad7b9-7328-405f-a0d5-7e17d380b2e0	Leslie Tello	elected	false	Council Member	AUS	2	260000	Felix Tello	H6IL07479	1.0000	2	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
1bb47808-7952-4bf6-b45e-74992c889b6f	Michelle Rich	elected	false	Council Member	AUS	1	250000	Mick Rich	S8NM00200	1.0000	1	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
22991297-c7ce-4e67-a8d6-163c242173c2	Michael Murphy	former	true	Federal Judge	US	2	250000	Michael Murphy	H4MN02151	1.0000	2	—	n/a (no cand_id on FR rows)	FAIL (role 'Federal Judge' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Federal Judge' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
1295f5c5-5c73-4b59-9bd6-8fc37b4d1ba7	Ammie Calderon	elected	false	Council Member	AUS	1	250000	Marisa Calderon	H0CA53131	1.0000	1	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
fd98e2eb-019e-4298-a7e7-f046a1edf439	Phimy Truong	elected	false	Council Member	SF	1	230000	Matthew Truong	H0VA10194	1.0000	1	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
79103a92-0f8d-4973-b5a2-a5c8ab1a7e2b	AnMarie Rodgers	elected	false	Council Member	SF	1	200000	James Rodgers	H2TX30236	1.0000	1	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
a9983f2f-aa61-4e8c-815d-d5abd5c24176	Alvin Moses	elected	false	Council Member	SF	4	177500	Pamela Moses	S4TN00575	1.0000	4	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
6541e5cd-3a36-4031-be26-9c209c46557d	Kimberly Williams	elected	false	Council Member	AUS	2	175000	Kim Williams	H0CA16112	1.0000	2	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
d6b6852c-91ec-4f69-ba87-2dae66ada1ea	Walter Stapleton	elected	true	Federal Judge	US	2	125000	Baxter Stapleton	H2OH10252	0.5000	1	—	n/a (no cand_id on FR rows)	FAIL (role 'Federal Judge' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Federal Judge' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
42305735-9ea0-4c1d-a56d-c7110fc28e7b	Richard Greene	elected	false	Council Member	SEA	3	120000	—	—	0.0000	0	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
