proname	identity	class	notes	claimed	real_bound	anon_x	auth_x	svc_x	is_trigger	proc_callers_commit	proc_callers_atomic	fn_callers	repo_rpc_sites	repo_other_sites	other_proconfig	other_md5
entity_comments_bump_activity	entity_comments_bump_activity()	E		2s	the enclosing statement	true	true	true	y						search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
entity_comments_flag_autotrip	entity_comments_flag_autotrip()	E		2s	the enclosing statement	true	true	true	y					packages/data/src/pipelines/moderation-harness/fixtures.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
entity_comments_refresh_rating_summary	entity_comments_refresh_rating_summary()	E		2s	the enclosing statement	true	true	true	y						search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
entity_comments_stamp_answered	entity_comments_stamp_answered()	E		2s	the enclosing statement	true	true	true	y						search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
entity_statements_flag_autotrip	entity_statements_flag_autotrip()	E		2s	the enclosing statement	true	true	true	y						search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
evidence_cards_corroboration_autotrip	evidence_cards_corroboration_autotrip()	E		3s	the enclosing statement	true	true	true	y						search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
evidence_cards_flag_autotrip	evidence_cards_flag_autotrip()	E		2s	the enclosing statement	true	true	true	y						search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
evidence_cards_refresh_rating_summary	evidence_cards_refresh_rating_summary()	E		2s	the enclosing statement	true	true	true	y						search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
expire_lapsed_grants	expire_lapsed_grants()	B		30s	none (service_role, measured)	false	false	true					apps/civitics/app/api/cron/nightly-sync/route.ts		search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
get_agency_page	get_agency_page(uuid)	A		3s	3s (anon)	true	true	true					apps/civitics/app/institutions/[id]/page.tsx	packages/data/src/scripts/explain-spend-variants.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
get_connection_type_counts	get_connection_type_counts()	B		5s	none (service_role, measured)	false	false	true					apps/civitics/app/api/claude/status/_lib/sections.ts apps/civitics/app/api/claude/status/_lib/status-snapshot.ts	packages/data/src/scripts/derived-drift-diagnose.ts		d41d8cd98f00b204e9800998ecf8427e
get_entity_comment_highlights	get_entity_comment_highlights(text,uuid,text)	B		5s	none (service_role, measured)	false	false	true				get_entity_questions	apps/civitics/app/api/comments/highlights/route.ts		search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
get_entity_position_rollup	get_entity_position_rollup(text,uuid,text)	D		5s	the script's own SET	false	false	true				get_position_rollup_display		packages/data/src/seed/franklin/index.ts packages/db/src/comment-kinds.ts apps/civitics/app/api/positions/rollup/route.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
get_entity_questions	get_entity_questions(text,uuid,text,text,integer,text)	A		5s	3s (anon)	true	true	true					apps/civitics/app/api/questions/route.ts apps/civitics/app/franklin/page.tsx	packages/data/src/seed/franklin/index.ts apps/civitics/app/api/comments/route.ts apps/civitics/src/lib/public-payload.test.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
get_entity_statements	get_entity_statements(text,uuid,text,integer,text)	A		5s	3s (anon)	true	true	true					apps/civitics/app/api/statements/route.ts	apps/civitics/app/api/investigations/_lib.ts apps/civitics/src/lib/public-payload.test.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
get_financial_entity_naics	get_financial_entity_naics()	D		120s	the script's own SET	false	false	true						packages/data/src/lib/heavy-rebuild.ts packages/data/src/pipelines/tags/rules.ts	search_path=public, pg_temp	eac5bef9b92039986bf93dc486753f77
get_gb_page	get_gb_page(uuid)	A		3s	3s (anon)	true	true	true					apps/civitics/app/institutions/[id]/page.tsx	packages/data/src/scripts/explain-spend-variants.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
get_group_donor_totals	get_group_donor_totals(uuid[])	E	no caller found anywhere (in-DB or repo)	30s	the enclosing statement	false	false	true								d41d8cd98f00b204e9800998ecf8427e
get_institution_recent_votes	get_institution_recent_votes(uuid,integer)	A		3s	3s (anon)	true	true	true				get_gb_page_live		packages/data/src/scripts/audit-gb-membership-pollution.ts packages/db/src/queries/governing-bodies.ts apps/civitics/app/institutions/[id]/page.tsx	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
get_jurisdiction_activity	get_jurisdiction_activity(uuid,integer)	A		3s	3s (anon)	true	true	true				get_jurisdiction_page_live		apps/civitics/app/jurisdictions/[id]/page.tsx	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
get_jurisdiction_page	get_jurisdiction_page(uuid)	A		3s	3s (anon)	true	true	true					apps/civitics/app/jurisdictions/[id]/page.tsx	packages/data/src/scripts/explain-spend-variants.ts apps/civitics/app/sitemap.ts apps/civitics/middleware.ts apps/civitics/src/lib/jurisdiction-cache.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
get_official_bipartisan_stats_full	get_official_bipartisan_stats_full()	E		300s	the enclosing statement	false	false	true				get_official_bipartisan_stats			search_path=public, pg_temp	eac5bef9b92039986bf93dc486753f77
get_official_donor_rollup_full	get_official_donor_rollup_full()	E		300s	the enclosing statement	false	false	true				get_official_donor_rollup			search_path=public, pg_temp	eac5bef9b92039986bf93dc486753f77
get_official_page	get_official_page(uuid)	A		5s	3s (anon)	true	true	true					apps/civitics/app/officials/[id]/page.tsx	packages/data/src/scripts/explain-spend-variants.ts apps/civitics/app/officials/_lib/get-official-content.ts apps/civitics/middleware.ts apps/civitics/src/lib/ratelimit.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
get_position_rollup_display	get_position_rollup_display(text,uuid,text)	A		5s	3s (anon)	true	true	true					apps/civitics/app/api/positions/rollup/route.ts apps/civitics/app/franklin/page.tsx	packages/data/src/seed/franklin/index.ts apps/civitics/app/franklin/components/CommonsStrip.tsx	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
get_proposal_counts_by_agency	get_proposal_counts_by_agency()	A		60s	3s (anon)	true	true	true					apps/civitics/app/agencies/page.tsx apps/civitics/app/page.tsx			d41d8cd98f00b204e9800998ecf8427e
get_quality_counts	get_quality_counts()	C2		60s	6h (postgres role, whole CALL)	false	false	true			refresh_platform_counts		apps/civitics/app/api/claude/status/_lib/sections.ts	apps/civitics/app/api/claude/status/_lib/status-snapshot.ts		d41d8cd98f00b204e9800998ecf8427e
get_supabase_cpu_max	get_supabase_cpu_max(integer)	B		5s	none (service_role, measured)	false	false	true					packages/db/src/supabase-prometheus.ts	packages/db/src/platform-snapshot.ts	search_path=public	0249ac0d9fc5e40c25bd93ad085c3c77
get_top_connected_officials	get_top_connected_officials(integer)	B		60s	none (service_role, measured)	false	false	true					apps/civitics/app/api/graph/connections/route.ts			d41d8cd98f00b204e9800998ecf8427e
get_user_receipts	get_user_receipts(integer)	A		3s	8s (authenticated)	false	true	true					apps/civitics/app/desk/page.tsx	apps/civitics/app/desk/components/ReceiptsModule.tsx	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
has_active_answerer_grant	has_active_answerer_grant(uuid,text,uuid)	A		2s	8s (authenticated)	false	true	true				get_entity_questions set_community_note_endorsement submit_comment	apps/civitics/app/api/viewer/engagement/route.ts	packages/data/src/seed/franklin/index.ts packages/db/src/comment-kinds.ts apps/civitics/app/components/QASection.tsx	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
has_active_constituent_grant	has_active_constituent_grant(uuid,uuid)	B		2s	none (service_role, measured)	false	false	true				set_entity_position submit_comment submit_statement	apps/civitics/app/api/comments/_lib.ts		search_path=""	033ede72622928c856582b307dccfe4b
has_active_official_grant	has_active_official_grant(uuid,uuid)	E	no caller found anywhere (in-DB or repo)	2s	the enclosing statement	false	false	true							search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
has_active_platform_admin_grant	has_active_platform_admin_grant(uuid)	A		2s	8s (authenticated)	false	true	true					apps/civitics/app/api/admin/grants/_lib.ts		search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
jurisdiction_boundary_svg	jurisdiction_boundary_svg(uuid,integer,integer)	A		2s	3s (anon)	true	true	true				get_jurisdiction_page_live		apps/civitics/app/jurisdictions/[id]/components/BoundarySvg.tsx	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
jurisdictions_containing_point	jurisdictions_containing_point(double precision,double precision)	B		3s	none (service_role, measured)	false	false	true					apps/civitics/app/api/auth/verify-constituent/route.ts	packages/data/src/data/nh-floterial-readers.test.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
link_officials_to_districts	link_officials_to_districts()	B		5min	none (service_role, measured)	false	false	true					packages/data/src/pipelines/districts-tiger/index.ts packages/data/src/pipelines/openstates/index.ts packages/data/src/pipelines/openstates-bulk/people.ts	packages/data/src/data/nh-house-districts-2022.test.ts packages/data/src/pipelines/openstates/writer-metadata-merge.test.ts packages/data/src/pipelines/openstates/writer.ts packages/data/src/scripts/gen-fix914-migration.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
position_events_bump_delta	position_events_bump_delta()	E		2s	the enclosing statement	true	true	true	y						search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
promote_evidence_edge	promote_evidence_edge(uuid,uuid)	D		5s	the script's own SET	false	false	true						packages/data/src/seed/franklin/index.ts packages/data/src/seed/franklin/lib.ts apps/civitics/app/api/admin/moderation/route.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
rate_evidence	rate_evidence(uuid,smallint,smallint)	A		2s	8s (authenticated)	false	true	true					apps/civitics/app/api/evidence/[id]/rate/route.ts	apps/civitics/app/api/investigations/_lib.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
rebuild_all_primary_sources	rebuild_all_primary_sources()	C1		5min	6h (postgres role, whole CALL)	false	false	true		refresh_derived_mvs				packages/data/src/lib/direct-pg-upsert.ts packages/data/src/pipelines/index.ts packages/data/src/pipelines/usaspending-bulk/writer.ts packages/db/src/primary-source.ts		d41d8cd98f00b204e9800998ecf8427e
rebuild_browse_facet_counts	rebuild_browse_facet_counts()	E		300s	the enclosing statement	false	false	true				rebuild_entity_search_index			search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
rebuild_entity_connections	rebuild_entity_connections()	B		60min	none (service_role, measured)	false	false	true					packages/data/src/scripts/rebuild-entity-connections.ts	packages/data/src/pipelines/edgar/index.ts packages/data/src/pipelines/edgar/writer.ts packages/data/src/pipelines/fec-bulk/indep-exp.ts packages/data/src/pipelines/fec-bulk/index.ts		d41d8cd98f00b204e9800998ecf8427e
rebuild_entity_connections_appointments	rebuild_entity_connections_appointments()	C1		15min	6h (postgres role, whole CALL)	false	false	true		run_entity_connections_rebuild		ec_arm_source_fingerprint rebuild_entity_connections		packages/data/src/scripts/rebuild-entity-connections.ts packages/data/src/scripts/run-rebuild-chunks-prod.ts scripts/test-drain-ec.mjs		d41d8cd98f00b204e9800998ecf8427e
rebuild_entity_connections_contracts	rebuild_entity_connections_contracts()	C1		30min	6h (postgres role, whole CALL)	false	false	true		run_entity_connections_rebuild		ec_arm_source_fingerprint rebuild_entity_connections		packages/data/src/scripts/rebuild-entity-connections.ts packages/data/src/scripts/run-rebuild-chunks-prod.ts scripts/fix1118-build-contract-grant-index.mjs scripts/fix1118-regate-contracts-arm.mjs		d41d8cd98f00b204e9800998ecf8427e
rebuild_entity_connections_cosponsors	rebuild_entity_connections_cosponsors()	C1		10min	6h (postgres role, whole CALL)	false	false	true		run_entity_connections_rebuild		ec_arm_source_fingerprint rebuild_entity_connections		packages/data/src/scripts/rebuild-entity-connections.ts packages/data/src/scripts/run-rebuild-chunks-prod.ts scripts/test-drain-ec.mjs		d41d8cd98f00b204e9800998ecf8427e
rebuild_entity_connections_external	rebuild_entity_connections_external()	C1		15min	6h (postgres role, whole CALL)	false	false	true		run_entity_connections_rebuild		ec_arm_source_fingerprint rebuild_entity_connections		packages/data/src/scripts/rebuild-entity-connections.ts packages/data/src/scripts/run-rebuild-chunks-prod.ts		d41d8cd98f00b204e9800998ecf8427e
rebuild_entity_connections_gifts	rebuild_entity_connections_gifts()	C1		10min	6h (postgres role, whole CALL)	false	false	true		run_entity_connections_rebuild		ec_arm_source_fingerprint rebuild_entity_connections		packages/data/src/scripts/rebuild-entity-connections.ts packages/data/src/scripts/run-rebuild-chunks-prod.ts		d41d8cd98f00b204e9800998ecf8427e
rebuild_entity_connections_holds	rebuild_entity_connections_holds()	C1		10min	6h (postgres role, whole CALL)	false	false	true		run_entity_connections_rebuild		ec_arm_source_fingerprint rebuild_entity_connections		packages/data/src/scripts/rebuild-entity-connections.ts packages/data/src/scripts/run-rebuild-chunks-prod.ts scripts/test-drain-ec.mjs		d41d8cd98f00b204e9800998ecf8427e
rebuild_entity_connections_investigation	rebuild_entity_connections_investigation()	C1		5min	6h (postgres role, whole CALL)	false	false	true		run_entity_connections_rebuild		ec_arm_source_fingerprint rebuild_entity_connections		packages/data/src/scripts/rebuild-entity-connections.ts		d41d8cd98f00b204e9800998ecf8427e
rebuild_entity_connections_lobbying	rebuild_entity_connections_lobbying()	C1		10min	6h (postgres role, whole CALL)	false	false	true		run_entity_connections_rebuild		ec_arm_source_fingerprint rebuild_entity_connections		packages/data/src/scripts/rebuild-entity-connections.ts packages/data/src/scripts/run-rebuild-chunks-prod.ts		d41d8cd98f00b204e9800998ecf8427e
rebuild_entity_connections_oversight	rebuild_entity_connections_oversight()	C1		5min	6h (postgres role, whole CALL)	false	false	true		run_entity_connections_rebuild		ec_arm_source_fingerprint rebuild_entity_connections		packages/data/src/scripts/rebuild-entity-connections.ts packages/data/src/scripts/run-rebuild-chunks-prod.ts scripts/test-drain-ec.mjs		d41d8cd98f00b204e9800998ecf8427e
rebuild_entity_connections_votes	rebuild_entity_connections_votes()	C1		15min	6h (postgres role, whole CALL)	false	false	true		run_entity_connections_rebuild		ec_arm_source_fingerprint rebuild_entity_connections		packages/data/src/scripts/rebuild-entity-connections.ts packages/data/src/scripts/run-rebuild-chunks-prod.ts scripts/test-drain-ec.mjs		d41d8cd98f00b204e9800998ecf8427e
rebuild_entity_connections_votes_full	rebuild_entity_connections_votes_full()	C1		15min	6h (postgres role, whole CALL)	false	false	true		run_entity_connections_rebuild		rebuild_entity_connections_votes				d41d8cd98f00b204e9800998ecf8427e
rebuild_entity_search_index	rebuild_entity_search_index()	C1		1200s	6h (postgres role, whole CALL)	false	false	true		refresh_derived_mvs				packages/data/src/lib/fr-rewrite-drain.test.ts packages/data/src/lib/fr-rewrite-drain.ts packages/data/src/scripts/fec-orphan-classify.ts packages/data/src/scripts/merge-same-person-official-dupes.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
rebuild_financial_entity_donation_totals	rebuild_financial_entity_donation_totals()	D		30min	the script's own SET	false	false	true				rebuild_financial_entity_donation_totals_full		packages/data/src/lib/heavy-rebuild.ts packages/data/src/lib/vacuum-tail.test.ts packages/data/src/lib/vacuum-tail.ts packages/data/src/pipelines/fec-bulk/index.ts		d41d8cd98f00b204e9800998ecf8427e
rebuild_financial_entity_donation_totals_full	rebuild_financial_entity_donation_totals_full()	E	no caller found anywhere (in-DB or repo)	30min	the enclosing statement	false	false	true								d41d8cd98f00b204e9800998ecf8427e
rebuild_financial_entity_ie_totals	rebuild_financial_entity_ie_totals()	D		10min	the script's own SET	false	false	true						packages/data/src/lib/fr-rewrite-drain.test.ts packages/data/src/lib/fr-rewrite-drain.ts packages/data/src/lib/heavy-rebuild.ts packages/data/src/lib/vacuum-tail.ts		d41d8cd98f00b204e9800998ecf8427e
rebuild_financial_entity_received_totals	rebuild_financial_entity_received_totals()	D		30min	the script's own SET	false	false	true						packages/data/src/lib/heavy-rebuild.ts packages/data/src/lib/vacuum-tail.ts packages/data/src/scripts/rebuild-received-totals.ts		d41d8cd98f00b204e9800998ecf8427e
rebuild_financial_entity_size_tags	rebuild_financial_entity_size_tags()	C1		300s	6h (postgres role, whole CALL)	false	false	true		run_rule_taggers				packages/data/src/lib/heavy-rebuild.ts packages/data/src/pipelines/tags/rules.ts	search_path=public, pg_temp	eac5bef9b92039986bf93dc486753f77
rebuild_pre_vote_timing_tags	rebuild_pre_vote_timing_tags()	C1		300s	6h (postgres role, whole CALL)	false	false	true		run_rule_taggers		rebuild_financial_entity_size_tags		packages/data/src/lib/heavy-rebuild.ts packages/data/src/pipelines/tags/rules.ts	search_path=public, pg_temp|enable_hashjoin=off|enable_mergejoin=off	49b9da0baca330470d062d971b2c40ce
recompute_comment_bridge_scores	recompute_comment_bridge_scores(text,uuid)	B		120s	none (service_role, measured)	false	false	true					apps/civitics/app/api/comments/route.ts	packages/data/src/lib/heavy-rebuild.ts packages/data/src/pipelines/moderation-harness/fixtures.ts packages/data/src/scripts/score-comments.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
refresh_agency_page_cache	refresh_agency_page_cache()	B		300s	none (service_role, measured)	false	false	true					packages/data/src/scripts/rebuild-entity-connections.ts		search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
refresh_connection_type_counts	refresh_connection_type_counts()	C2		5min	6h (postgres role, whole CALL)	false	false	true			refresh_platform_counts	rebuild_entity_connections		packages/data/src/scripts/derived-drift-diagnose.ts packages/data/src/scripts/rebuild-entity-connections.ts		d41d8cd98f00b204e9800998ecf8427e
refresh_gb_page_cache	refresh_gb_page_cache()	B		300s	none (service_role, measured)	false	false	true					packages/data/src/scripts/rebuild-entity-connections.ts		search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
refresh_group_donor_rollup	refresh_group_donor_rollup()	C2		300s	6h (postgres role, whole CALL)	false	false	true			run_group_donor_rollup_refresh		packages/data/src/scripts/rebuild-entity-connections.ts	packages/data/src/lib/fr-rewrite-drain.test.ts packages/data/src/lib/fr-rewrite-drain.ts packages/data/src/scripts/fec-orphan-classify.ts packages/data/src/scripts/merge-same-person-official-dupes.ts	search_path=public, pg_temp	eac5bef9b92039986bf93dc486753f77
refresh_jurisdiction_page_cache	refresh_jurisdiction_page_cache()	B		600s	none (service_role, measured)	false	false	true					packages/data/src/scripts/rebuild-entity-connections.ts	apps/civitics/src/lib/jurisdiction-cache.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
refresh_official_content_ids	refresh_official_content_ids()	B		600s	none (service_role, measured)	false	false	true					packages/data/src/scripts/rebuild-entity-connections.ts		search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
refresh_primary_source_for_entities	refresh_primary_source_for_entities(text,uuid[])	B		60s	none (service_role, measured)	false	false	true					packages/data/src/pipelines/agency-enrichment/index.ts packages/db/src/primary-source.ts	packages/data/src/lib/direct-pg-upsert.ts packages/data/src/pipelines/congress/committees.ts packages/data/src/pipelines/usaspending-bulk/writer.ts packages/data/src/scripts/backfill-gb-attribution.ts		d41d8cd98f00b204e9800998ecf8427e
reject_evidence_edge	reject_evidence_edge(uuid,uuid)	D		5s	the script's own SET	false	false	true						apps/civitics/app/api/admin/moderation/route.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
revoke_grant	revoke_grant(uuid,grant_role,grant_target_type,uuid,uuid,text)	B		30s	none (service_role, measured)	false	false	true					apps/civitics/app/api/admin/grants/[id]/route.ts	packages/data/src/seed/franklin/grant-staff-idempotency.test.ts apps/civitics/app/admin/grants/page.tsx apps/civitics/app/admin/grants/RevokeGrantAction.tsx apps/civitics/src/lib/active-grants.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
set_community_note_endorsement	set_community_note_endorsement(uuid,boolean)	A		3s	8s (authenticated)	false	true	true					apps/civitics/app/api/comments/[id]/endorse/route.ts		search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
set_entity_position	set_entity_position(text,uuid,smallint,text,uuid,text)	A		2s	8s (authenticated)	false	true	true				submit_statement	apps/civitics/app/api/positions/route.ts	packages/data/src/pipelines/moderation-harness/fixtures.ts packages/data/src/seed/franklin/index.ts packages/data/src/__tests__/comment-kinds-drift.test.ts packages/db/src/comment-kinds.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
set_investigation_findings	set_investigation_findings(uuid,text,text)	A		3s	8s (authenticated)	false	true	true					apps/civitics/app/api/investigations/[id]/route.ts	packages/data/src/seed/franklin/index.ts apps/civitics/app/api/investigations/_lib.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
set_statement_vote	set_statement_vote(uuid,smallint)	A		2s	8s (authenticated)	false	true	true					apps/civitics/app/api/statements/[id]/vote/route.ts	packages/data/src/__tests__/comment-kinds-drift.test.ts packages/db/src/comment-kinds.ts apps/civitics/app/api/statements/_lib.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
statement_votes_refresh_summary	statement_votes_refresh_summary()	E		2s	the enclosing statement	true	true	true	y						search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
submit_comment	submit_comment(text,uuid,text,text,text,uuid,text)	A		3s	8s (authenticated)	false	true	true					apps/civitics/app/api/comments/route.ts	packages/data/src/pipelines/moderation-harness/fixtures.ts packages/data/src/seed/franklin/index.ts packages/data/src/__tests__/comment-kinds-drift.test.ts packages/db/src/comment-kinds.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
submit_statement	submit_statement(text,uuid,text,uuid)	A		3s	8s (authenticated)	false	true	true					apps/civitics/app/api/statements/route.ts	packages/db/src/comment-kinds.ts apps/civitics/app/api/comments/route.ts apps/civitics/app/api/statements/_lib.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
treemap_recipients_by_contracts_full	treemap_recipients_by_contracts_full(integer)	C2		300s	6h (postgres role, whole CALL)	false	false	true			refresh_contract_flow_rollups	treemap_recipients_by_contracts			search_path=public, pg_temp	eac5bef9b92039986bf93dc486753f77
unpromote_evidence_edge	unpromote_evidence_edge(uuid,uuid)	D		5s	the script's own SET	false	false	true						apps/civitics/app/api/admin/moderation/route.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
upsert_county_jurisdiction	upsert_county_jurisdiction(uuid,text,text,text,text,text)	B		5s	none (service_role, measured)	false	false	true					packages/data/src/pipelines/jurisdictions-boundary-backfill/index.ts		search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
