fec_committee_id	display_name	industry	current_tags	audited_sector	usd
C00336743	ASIAN AMERICAN HOTEL OWNERS ASSOCIATION PAC (AAHOA PAC)	retail	real_estate	hospitality_travel	1981500
C00252940	LEAGUE OF CONSERVATION VOTERS ACTION FUND	lobby	agriculture	single_issue_advocacy	1952841
C00083535	DUKE ENERGY CORPORATION PAC	utilities	oil_gas	electric_utility	1930100
C00384818	CVS HEALTH PAC	health	pharma+retail	health_insurer	1885500
C00544817	STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY FEDERAL POLITICAL ACTION COMMITTEE (STATE FARM FEDERAL PAC)	finance	agriculture+finance	insurance	1867775
C00764233	DEFEND THE VOTE	lobby	legal+lobby	single_issue_advocacy	1866000
C00012914	AMERICAN LAND TITLE ASSOCIATION TITLE INDUSTRY PAC (TIPAC)	finance	real_estate	financial_trade_assoc	1823500
C00107300	AMERICAN AIRLINES INC. POLITICAL ACTION COMMITTEE (AAPAC)	transportation	finance+transportation	airline	1807900
C00252338	AMERICAN CHEMISTRY COUNCIL PAC	manufacturing	oil_gas	chemicals	1803880
C00749481	RAPTOR PAC	NONE	lobby	unknown_abstract_pac	1764300
C00623512	IN THE ARENA PAC	NONE	lobby	unknown_abstract_pac	1737440
C00004473	NATIONAL TELECOMMUNICATIONS COOPERATIVE ASSOCIATION RURAL BROADBAND PAC	tech	agriculture+tech	telecom_cable	1735450
C00165159	REPUBLICAN MAINSTREET PARTNERSHIP PAC	NONE	lobby	leadership_or_party_pac	1707000
C00013961	SHEET METAL & AIR CONDITIONING CONTRACTORS' NATIONAL ASSOC., INC. POLITICAL ACTION COMMITTEE	real_estate	labor	construction_contractor	1698600
C00503680	CROP INSURANCE PROFESSIONALS ASSOCIATION PAC-CIPA PAC	finance	agriculture+finance	financial_trade_assoc	1692810
C00034405	INTERNATIONAL PAPER POLITICAL ACTION COMMITTEE (IP-PAC)	manufacturing	agriculture+retail	industrial_manufacturing	1691000
C00114132	AMERICAN VETERINARY MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE	health	legal+pharma	health_trade_assoc	1690500
C00219642	ENTERPRISE HOLDINGS, INC. / ENTERPRISE MOBILITY POLITICAL ACTION COMMITTEE	retail	transportation	hospitality_travel	1667250
C00375360	AMERICAN COLLEGE OF CARDIOLOGY PAC (HEARTPAC)	health	labor+pharma	health_trade_assoc	1659000
C00095869	POWERPAC OF THE EDISON ELECTRIC INSTITUTE	utilities	oil_gas	electric_utility	1639800
C00451153	GRIDIRON-PAC	NONE	defense+lobby	unknown_abstract_pac	1612000
C00540146	FIRST IN FREEDOM PAC	NONE	lobby	unknown_abstract_pac	1584350
C00411553	AMERICAN ACADEMY OF FAMILY PHYSICIANS POLITICAL ACTION COMMITTEE (FAMMEDPAC)	health	legal+pharma	health_trade_assoc	1579300
C00570945	E-PAC	NONE	lobby+tech	leadership_or_party_pac	1579000
C00422774	FRONTLINE USA	NONE	defense+lobby	unknown_abstract_pac	1501775
C00433060	REPUBLICAN GOVERNANCE GROUP/TUESDAY GROUP PAC	NONE	lobby	leadership_or_party_pac	1499000
C00379628	NUCOR CORPORATION POLITICAL ACTION COMMITTEE	manufacturing	defense	steel_metals	1479776
C00397851	CENTENE CORPORATION POLITICAL ACTION COMMITTEE (CENTENE PAC)	health	finance+pharma	health_insurer	1474100
C00340075	BASF CORPORATION EMPLOYEES POLITICAL ACTION COMMITTEE	manufacturing	pharma+tech	chemicals	1454750
C00144774	SOUTHERN COMPANY EMPLOYEES PAC	utilities	oil_gas	electric_utility	1444500
C00497131	PURPOSE PAC	NONE	lobby	unknown_abstract_pac	1432500
C00852012	TEAM MCCORMICK	NONE	lobby	leadership_or_party_pac	1420257
C00262295	CTIA - THE WIRELESS ASSOCIATION POLITICAL ACTION COMMITTEE	tech	finance+tech	telecom_cable	1402000
C00404392	CONSERVATIVE OPPORTUNITY LEADERSHIP AND ENTERPRISE PAC	NONE	lobby	leadership_or_party_pac	1382500
C00495028	HMP	NONE	finance+lobby	unknown_abstract_pac	1377500
C00360669	SOUTHWEST AIRLINES PILOTS' ASSOCIATION POLITICAL ACTION COMMITTEE (SWAPA PAC)	labor	labor+transportation	labor_union	1370500
C00019653	EDISON INTERNATIONAL PAC	utilities	oil_gas	electric_utility	1357400
C00573709	CA LUV PAC (CALIFORNIA LEADERSHIP UNITED FOR VICTORY PAC)	NONE	lobby	unknown_abstract_pac	1355860
C00279216	IHEARTMEDIA INC. PAC	media	tech	media_entertainment	1353320
C00399196	BUILDING RELATIONSHIPS IN DIVERSE GEOGRAPHIC ENVIRONMENTS PAC	NONE	lobby+real_estate	leadership_or_party_pac	1345500
C00000935	DCCC	NONE	lobby	leadership_or_party_pac	1332936
C00007948	WEYERHAEUSER COMPANY POLITICAL ACTION COMMITTEE	manufacturing	agriculture+real_estate	industrial_manufacturing	1329500
C00245548	NATIONAL MARINE MANUFACTURERS ASSOCIATION AND MARINE RETAILERS ASSOCIATION BOAT PAC	manufacturing	retail	industrial_manufacturing	1326000
C00114025	NATIONAL READY MIXED CONCRETE ASSN. PAC (CONCRETEPAC)	real_estate	real_estate+transportation	construction_contractor	1316000
C00435933	AMERICAN ACADEMY OF NEUROLOGY BRAINPAC	health	labor+pharma	health_trade_assoc	1312000
C00108209	DOMINION ENERGY, INC. POLITICAL ACTION COMMITTEE - DOMINION PAC	utilities	oil_gas	electric_utility	1303700
C00015933	PINNACLE WEST CAPITAL CORPORATION PAC	utilities	finance	electric_utility	1301500
C00450692	POET PAC	utilities	agriculture	renewables	1301000
C00141218	EXELON CORPORATION POLITICAL ACTION COMMITTEE	utilities	oil_gas	electric_utility	1296500
C00365536	CHC BOLD PAC	NONE	lobby	leadership_or_party_pac	1270045
C00326439	HOUSE CONSERVATIVES FUND	NONE	lobby	leadership_or_party_pac	1269500
C00008839	AMERICAN PODIATRIC MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE	health	legal+pharma	health_trade_assoc	1264000
C00557793	BLUE ORIGIN LLC POLITICAL ACTION COMMITTEE (BLUE ORIGIN PAC)	defense	defense+tech	aerospace_civil	1259100
C00046474	FORD MOTOR COMPANY CIVIC ACTION FUND	manufacturing	transportation	auto_manufacturing	1257500
C00488262	NETJETS ASSOCIATION OF SHARED AIRCRAFT PILOTS PAC; NJASAP PAC	labor	transportation	labor_union	1257500
C00013342	UNITED MINE WORKERS OF AMERICA - COAL MINERS POLITICAL ACTION COMMITTEE	labor	labor+oil_gas	labor_union	1234500
C00793711	CONSTELLATION ENERGY CORPORATION EMPLOYEE POLITICAL ACTION COMMITTEE (CEPAC)	utilities	oil_gas	nuclear	1227000
C00188177	H&R BLOCK INC. POLITICAL ACTION COMMITTEE (BLOCKPAC)	legal	finance	accounting_consulting	1210750
C00008748	SEMPRA ENERGY EMPLOYEES POLITICAL ACTION COMMITTEE- FEDERAL	utilities	oil_gas	gas_utility	1205000
C00432260	CLUB FOR GROWTH PAC	lobby	finance+lobby	ideological_advocacy	1184473
C00495887	TOMORROW IS MEANINGFUL PAC	NONE	lobby	leadership_or_party_pac	1181000
C00177469	PG&E CORPORATION EMPLOYEES ENERGYPAC	utilities	finance+oil_gas	electric_utility	1178858
C00504530	CONGRESSIONAL LEADERSHIP FUND	NONE	lobby	leadership_or_party_pac	1176600
C00475665	GROWTH ENERGY PAC	utilities	agriculture	renewables	1160250
C00097865	NATSO INC. NATSO PAC	oil_gas	transportation	fuel_marketing_distribution	1157000
C00414474	AMERIPRISE FINANCIAL INC. POLITICAL ACTION COMMITTEE (AMERIPRISEPAC)	finance	finance+lobby	securities_investment	1156500
C00034132	FLUOR CORPORATION POLITICAL ACTION COMMITTEE (FLUOR PAC)	real_estate	defense+lobby	engineering_construction	1149500
C00131185	AIRCRAFT OWNERS AND PILOTS ASSOCIATION POLITICAL ACTION COMMITTEE	NONE	transportation	professional_assoc_other	1140500
C00274944	COLLEGE OF AMERICAN PATHOLOGISTS POLITICAL ACTION COMMITTEE	health	legal+pharma	health_trade_assoc	1138800
C00418897	VOTEVETS	lobby	defense+lobby	ideological_advocacy	1138500
C00325936	SOCIETY OF THORACIC SURGEONS POLITICAL ACTION COMMITTEE	health	lobby+pharma	health_trade_assoc	1128000
C00244863	NATIONAL ROOFING CONTRACTORS ASSOCIATION ROOF PAC	real_estate	labor	construction_contractor	1125500
C00469429	CMR POLITICAL ACTION COMMITTEE	NONE	legal	leadership_or_party_pac	1120000
C00572271	BUILDING AMERICA'S REPUBLICAN REPRESENTATION PAC	NONE	finance+lobby	leadership_or_party_pac	1107780
C00296640	REPUBLICAN MAJORITY FUND	NONE	lobby	leadership_or_party_pac	1107563
C00034488	ANHEUSER-BUSCH COMPANIES LLC POLITICAL ACTION COMMITTEE	retail	agriculture+retail	alcohol	1105000
C00373696	AMERICAN PSYCHIATRIC ASSOCIATION POLITICAL ACTION COMMITTEE	health	legal+pharma	health_trade_assoc	1075500
C00150367	NATIONAL VENTURE CAPITAL ASSOCIATION VENTUREPAC	finance	finance+tech	private_equity_vc	1059000
C00199711	HEALTH CARE SERVICE CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE	health	finance+pharma	health_insurer	1058500
C00541169	NATIONAL ASSOCIATION OF MANUFACTURERS PAC (NAM-PAC)	manufacturing	lobby+manufacturing	industrial_manufacturing	1053000
C00112896	CONOCOPHILLIPS SPIRIT PAC	oil_gas	oil_gas+tech	oil_gas_upstream	1048000
C00139659	JOINT ACTION COMMITTEE FOR POLITICAL AFFAIRS	lobby	labor+lobby	single_issue_advocacy	1041835
C00693002	FOX CORPORATION POLITICAL ACTION COMMITTEE (FOX PAC)	media	retail+tech	media_entertainment	1038600
C00363945	SYNGENTA CORPORATION EMPLOYEE POLITICAL ACTION COMMITTEE	manufacturing	agriculture	chemicals	1034500
C00358903	AMERICAN ASSOCIATION OF NURSE PRACTITIONERS POLITICAL ACTION COMMITTEE	health	legal+pharma	health_trade_assoc	1031500
C00410068	FRATERNITY & SORORITY POLITICAL ACTION COMMITTEE	NONE	lobby	education	1022500
C00239848	NUCLEAR ENERGY INSTITUTE FEDERAL POLITICAL ACTION COMMITTEE	utilities	defense+oil_gas	nuclear	1017100
C00493700	BLUE HEN FEDERAL PAC	NONE	labor+lobby	leadership_or_party_pac	1008416
C00268904	TRINITY INDUSTRIES EMPLOYEE POLITICAL ACTION COMMITTEE (SF) INC.	manufacturing	defense+transportation	industrial_manufacturing	992500
C00390161	EUREKA POLITICAL ACTION COMMITTEE	NONE	finance+lobby	unknown_abstract_pac	992000
C00480228	CONTINUING AMERICA'S STRENGTH AND SECURITY PAC	NONE	defense	unknown_abstract_pac	990100
C00075820	NRCC	NONE	lobby	leadership_or_party_pac	990000
C00672733	BULLDOG PAC	NONE	lobby	unknown_abstract_pac	987589
C00631051	ABRAHAM LINCOLN PAC	NONE	defense	unknown_abstract_pac	987500
C00483487	BRINGING REPUBLICAN EXCELLENCE TO TOWN PAC	NONE	lobby	leadership_or_party_pac	979000
C00817338	MVL PAC	NONE	lobby	unknown_abstract_pac	977700
C00525600	OFF THE SIDELINES PAC	NONE	lobby	leadership_or_party_pac	977000
C00042366	DSCC	NONE	lobby	leadership_or_party_pac	964800
C00571000	TRUE NORTH PAC	NONE	finance+oil_gas	unknown_abstract_pac	961400
C00374447	AECOM PAC	real_estate	real_estate+tech	engineering_construction	952600
C00390674	FREEDOM FUND	NONE	finance+lobby	unknown_abstract_pac	952500
C00188193	WOMEN'S POLITICAL COMMITTEE FEDERAL	lobby	labor+lobby	ideological_advocacy	937500
C00567388	NEXSTAR MEDIA GROUP, INC. POLITICAL ACTION COMMITTEE (NEXSTAR PAC)	media	retail+tech	media_entertainment	937400
C00089086	THE AMERICAN OCCUPATIONAL THERAPY ASSOCIATION, INC. POLITICAL ACTION COMMITTEE (AOTPAC)	health	lobby+pharma	health_trade_assoc	930575
C00497073	LOBO PAC	NONE	lobby	unknown_abstract_pac	929000
C00039461	BALL CORPORATION POLITICAL ACTION COMMITTEE	manufacturing	retail	industrial_manufacturing	918500
C00503151	UPPER HAND FUND	NONE	lobby	unknown_abstract_pac	915800
C00017525	AMERICAN NURSES ASSOCIATION PAC	health	labor+pharma	health_trade_assoc	915500
C00007450	AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE	utilities	oil_gas	gas_utility	906000
C00531764	A NEW NATION PAC	NONE	lobby	unknown_abstract_pac	903300
C00409003	HEARTLAND VALUES PAC	NONE	lobby	leadership_or_party_pac	896300
C00366070	FAA MANAGERS ASSOCIATION INC. PAC	labor	labor+transportation	labor_union	894500
C00107771	XCEL ENERGY EMPLOYEE POLITICAL ACTION COMMITTEE (XPAC)	utilities	oil_gas	electric_utility	893500
C00551853	OORAH! POLITICAL ACTION COMMITTEE	NONE	defense+lobby	unknown_abstract_pac	883416
C00679860	ANIMAL WELLNESS ACTION PAC	lobby	agriculture+lobby	single_issue_advocacy	881750
C00442368	COMMON VALUES PAC	NONE	finance+lobby	unknown_abstract_pac	880000
C00408260	THE GRANT THORNTON ADVISORS LLC POLITICAL ACTION COMMITTEE	legal	finance	accounting_consulting	879650
C00413948	ARKANSAS FOR LEADERSHIP POLITICAL ACTION COMMITTEE (ARKPAC)	NONE	finance+lobby	unknown_abstract_pac	877500
C00461418	NATIONAL UNION OF HEALTHCARE WORKERS FEDERAL COMMITTEE ON POLITICAL EDUCATION	labor	labor+pharma	labor_union	876750
C00228106	PPL CORPORATION PEOPLE FOR GOOD GOVERNMENT	utilities	oil_gas	electric_utility	874000
C00206136	AMEREN CORPORATION FEDERAL POLITICAL ACTION COMMITTEE (AMEREN FEDPAC)	utilities	oil_gas	electric_utility	870500
C00697326	ON WISCONSIN PAC, INC.	NONE	legal+lobby	unknown_abstract_pac	867145
C00457754	U.S. TRAVEL ASSOCIATION PAC	retail	transportation	hospitality_travel	861200
C00348607	IMPACT	lobby	finance+lobby	single_issue_advocacy	860000
C00544254	PERIMETER PAC	NONE	finance+lobby	unknown_abstract_pac	854750
C00692327	LETS GET TO WORK PAC	NONE	legal+lobby	unknown_abstract_pac	851269
C00654475	SMART SOLUTIONS PAC	NONE	tech	unknown_abstract_pac	850500
C00492058	LEADERSHIP AND ACCOUNTABILITY ARE NATIONAL KEYS PAC	NONE	lobby	leadership_or_party_pac	850000
C00073056	MASTERS, MATES AND PILOTS POLITICAL CONTRIBUTION FUND	labor	transportation	labor_union	849430
C00200865	ROAD TO FREEDOM CAMPAIGN COMMITTEE	NONE	lobby	leadership_or_party_pac	847300
C00693796	BUCKEYE LIBERTY POLITICAL ACTION COMMITTEE	NONE	lobby	unknown_abstract_pac	847100
C00116020	VULCAN MATERIALS COMPANY POLITICAL ACTION COMMITTEE	manufacturing	real_estate+retail	industrial_manufacturing	846550
C00074096	DOW INC. PAC (DOWPAC)	manufacturing	oil_gas	chemicals	845500
C00226548	VISTRA EMPLOYEE POLITICAL ACTION COMMITTEE OF VISTRA CORP.	utilities	oil_gas	electric_utility	842500
C00029348	AMERICAN FOREST & PAPER ASSOCIATION POLITICAL ACTION COMMITTEE	manufacturing	agriculture	industrial_manufacturing	841500
C00410308	SHORE PAC	NONE	lobby	unknown_abstract_pac	841000
C00683508	FOREVER YOUTH ORGANIZATION UTILIZING A NEW GENERATION PAC	NONE	lobby	leadership_or_party_pac	838700
C00389429	CALPORTLAND COMPANY POLITICAL ACTION COMMITTEE (CALPORTLANDPAC)	manufacturing	real_estate+retail	industrial_manufacturing	836000
C00096842	THE AMERICAN ELECTRIC POWER COMMITTEE FOR RESPONSIBLE GOVERNMENT	utilities	oil_gas	electric_utility	835500
C00391797	DIRIGO PAC	NONE	defense+finance	leadership_or_party_pac	830000
C00540054	NEBRASKA SANDHILLS PAC	NONE	agriculture	unknown_abstract_pac	827000
C00546119	SELECT MEDICAL CORPORATION PAC	health	pharma+retail	health_provider	826400
C00340364	BLUE SHIELD OF CALIFORNIA PAC (SHIELD PAC)	health	finance	health_insurer	825100
C00210666	AMERICAN SPEECH-LANGUAGE-HEARING ASSOCIATION PAC (ASHA PAC)	health	lobby+pharma	health_trade_assoc	817250
C00458158	LKQ CORPORATION EMPLOYEE GOOD GOVERNMENT FUND	retail	retail+transportation	retail_general	813000
C00081547	DTE ENERGY COMPANY POLITICAL ACTION COMMITTEE	utilities	oil_gas+pharma	electric_utility	808000
C00489336	WILD AND WONDERFUL PAC	NONE	lobby	unknown_abstract_pac	806000
C00507574	MOTOR CITY PAC	NONE	transportation	unknown_abstract_pac	804500
C00785816	LIFTOFF PAC	NONE	tech	unknown_abstract_pac	802300
C00566851	JOBS OPPORTUNITY AND NEW IDEAS PAC	NONE	agriculture+finance	leadership_or_party_pac	802300
C00431601	OCEANS PAC	NONE	finance	unknown_abstract_pac	802000
C00517235	TURQUOISE PAC	NONE	finance+lobby	unknown_abstract_pac	802000
C00083857	OCCIDENTAL PETROLEUM CORPORATION POLITICAL ACTION COMMITTEE	oil_gas	oil_gas+pharma	oil_gas_upstream	800800
C00679191	DIGIDEMS PAC	lobby	tech	ideological_advocacy	798768
C00368696	RESPONSIBILITY AND FREEDOM WORK PAC (RFWPAC)	NONE	lobby	leadership_or_party_pac	797000
C00406801	AVANGRID POLITICAL ACTION COMMITTEE	utilities	oil_gas	electric_utility	797000
C00757419	SD PAC	NONE	lobby+real_estate	unknown_abstract_pac	796900
C00607721	LAND OF OPPORTUNITY PAC	NONE	lobby	unknown_abstract_pac	787500
C00034785	ACPAC ACA INTERNATIONAL POLITICAL ACTION COMMITTEE	finance	legal	financial_trade_assoc	785999
C00629311	GRANITE VALUES PAC	NONE	lobby	unknown_abstract_pac	782500
C00629709	NO LABELS PAC	lobby	finance+lobby	ideological_advocacy	776323
C00412791	FORWARD TOGETHER PAC	NONE	lobby	unknown_abstract_pac	773000
C00365270	M-PAC	NONE	lobby	unknown_abstract_pac	765000
C00048579	SALT RIVER VALLEY WATER USERS' ASSOCIATION POLITICAL INVOLVEMENT COMMITTEE ( SRPPIC)	utilities	agriculture	electric_utility	764500
C00304832	CONSTELLATION BRANDS INC POLITICAL ACTION COMMITTEE	retail	agriculture+retail	alcohol	764000
C00576090	EVERGREEN PAC	NONE	lobby+tech	unknown_abstract_pac	761200
C00542027	BIG SKY OPPORTUNITY PAC	NONE	lobby+oil_gas	leadership_or_party_pac	759000
C00172833	AMERICAN ASSOCIATION OF CROP INSURERS PAC	finance	agriculture	insurance	758333
C00145037	SOUTHERN COMPANY GAS EMPLOYEES PAC	utilities	oil_gas	gas_utility	754500
C00486928	ALZHEIMERS IMPACT MOVEMENT POLITICAL ACTION COMMITTEE	lobby	lobby+pharma	single_issue_advocacy	752403
C00010124	ASSOCIATED EQUIPMENT DISTRIBUTORS POLITICAL ACTION COMMITTEE	retail	retail+transportation	retail_general	749499
C00409276	MAKING A RESPONSIBLE STAND FOR HOUSEHOLDS IN AMERICA PAC	NONE	lobby	leadership_or_party_pac	745000
